"#";"Quantity";"RefDes";"Farnell";"Name";"Manufacturer";"Package";"Manufacturer name"
"1";"1";"C1";"2320797";"CAP_0603_470nF_25V";"Multicomp Pro";"";"MC0603B474K250CT"
"2";"1";"C2";"2496771";"CAP_0402_2.2uF_25V";"MuRata";"";"0402B104K160CT "
"3";"1";"C3";"2906931";"CAP_0402_220nF_25V";"TDK";"";"CGA2B3X7R1E224K050BB"
"4";"1";"C4";"1885289";"CAP_RF_0402_0.5pF_50V";"Johanson Technology";"";"500R07S0R5AV4T"
"5";"2";"C6, C7";"";"CAP_0402";"";"";""
"6";"1";"D1";"2547243";"16V Zener";"Vishay";"";"BZD27C16P-E3-08"
"7";"1";"D2";"2099222";"0603 LED Orange";"Kingbright";"";"KPT-1608SECK"
"8";"1";"F1";"2309127";"Littlefuse 0.3A/0.6A 2920L030DR ";"Littlefuse";"";"2920L030DR"
"9";"1";"J1";"1462888";"Pin header 2P";"Multicomp";"";"SPC20484"
"10";"1";"J3";"2856817";"SMA-90-TH";"SAMTEC";"";"SMA-J-P-H-RA-TH1"
"11";"1";"J4";"";"Test point LARGE";"";"";""
"12";"3";"J5, J6, J7";"2293786";"Ground clip";"Harwin";"";"S1751-46R"
"13";"2";"J8, J9";"";"Test point SMALL No marking";"";"";""
"14";"3";"J11, J12, J13";"";"Test point SMD";"";"";""
"15";"1";"L1";"";"Inductor_0402";"Murata";"";""
"16";"1";"Q1";"2480770";"BF998 N RF Tetrode";"Infineon";"";"BF998"
"17";"1";"R1";"1141471";"POT_1k_20%_SMD";"Vishay";"";""
"18";"1";"R2";"2447120";"RES_0402_1k_1%";"Multicomp";"";"MCWR04X1001FTL"
"19";"2";"R3, R5";"2447079";"RES_0402_10M_1%";"Multicomp";"";"MCWR04X1005FTL"
"20";"2";"R4, R7";"";"RES_0402";"";"";""
"21";"1";"R6";"";"RES_0402_49R9_1%";"Vishay";"";"RCC040249R9FKED"
"22";"1";"U1";"2463947";"L78L09";"ST";"SOT-89";"L78L09ABUTR"
